threshold,tp,fp,tn,fn,precision,recall,f1,rate,system
0.35,68,27,49,8,0.7158,0.8947,0.7953,0.2,probe
0.4,64,25,51,12,0.7191,0.8421,0.7758,0.2,probe
0.45,61,22,54,15,0.7349,0.8026,0.7673,0.2,probe
0.5,61,22,54,15,0.7349,0.8026,0.7673,0.2,probe
0.55,59,20,56,17,0.7468,0.7763,0.7613,0.2,probe
0.6,56,18,58,20,0.7568,0.7368,0.7467,0.2,probe
0.65,51,15,61,25,0.7727,0.6711,0.7183,0.2,probe
0.7,49,15,61,27,0.7656,0.6447,0.7,0.2,probe
0.35,74,74,2,2,0.5,0.9737,0.6607,0.2,llm
0.4,73,72,4,3,0.5034,0.9605,0.6606,0.2,llm
0.45,72,67,9,4,0.518,0.9474,0.6698,0.2,llm
0.5,71,64,12,5,0.5259,0.9342,0.673,0.2,llm
0.55,68,58,18,8,0.5397,0.8947,0.6733,0.2,llm
0.6,64,54,22,12,0.5424,0.8421,0.6598,0.2,llm
0.65,59,46,30,17,0.5619,0.7763,0.6519,0.2,llm
0.7,49,36,40,27,0.5765,0.6447,0.6087,0.2,llm
0.35,94,42,72,20,0.6912,0.8246,0.752,0.4,probe
0.4,86,39,75,28,0.688,0.7544,0.7197,0.4,probe
0.45,81,34,80,33,0.7043,0.7105,0.7074,0.4,probe
0.5,80,34,80,34,0.7018,0.7018,0.7018,0.4,probe
0.55,79,32,82,35,0.7117,0.693,0.7022,0.4,probe
0.6,69,27,87,45,0.7188,0.6053,0.6571,0.4,probe
0.65,63,23,91,51,0.7326,0.5526,0.63,0.4,probe
0.7,59,21,93,55,0.7375,0.5175,0.6082,0.4,probe
0.35,109,111,3,5,0.4955,0.9561,0.6527,0.4,llm
0.4,108,109,5,6,0.4977,0.9474,0.6526,0.4,llm
0.45,106,99,15,8,0.5171,0.9298,0.6646,0.4,llm
0.5,102,93,21,12,0.5231,0.8947,0.6602,0.4,llm
0.55,98,86,28,16,0.5326,0.8596,0.6577,0.4,llm
0.6,89,79,35,25,0.5298,0.7807,0.6312,0.4,llm
0.65,81,68,46,33,0.5436,0.7105,0.616,0.4,llm
0.7,73,55,59,41,0.5703,0.6404,0.6033,0.4,llm
0.35,91,42,72,23,0.6842,0.7982,0.7368,0.6,probe
0.4,83,39,75,31,0.6803,0.7281,0.7034,0.6,probe
0.45,78,34,80,36,0.6964,0.6842,0.6903,0.6,probe
0.5,75,34,80,39,0.6881,0.6579,0.6726,0.6,probe
0.55,74,32,82,40,0.6981,0.6491,0.6727,0.6,probe
0.6,66,27,87,48,0.7097,0.5789,0.6377,0.6,probe
0.65,57,23,91,57,0.7125,0.5,0.5876,0.6,probe
0.7,50,21,93,64,0.7042,0.4386,0.5405,0.6,probe
0.35,112,111,3,2,0.5022,0.9825,0.6647,0.6,llm
0.4,110,109,5,4,0.5023,0.9649,0.6607,0.6,llm
0.45,107,99,15,7,0.5194,0.9386,0.6688,0.6,llm
0.5,105,93,21,9,0.5303,0.9211,0.6731,0.6,llm
0.55,99,86,28,15,0.5351,0.8684,0.6622,0.6,llm
0.6,94,79,35,20,0.5434,0.8246,0.6551,0.6,llm
0.65,87,68,46,27,0.5613,0.7632,0.6468,0.6,llm
0.7,71,55,59,43,0.5635,0.6228,0.5917,0.6,llm
