threshold,tp,fp,tn,fn,precision,recall,f1,mode,n_spurious,system
0.35,20,6,23,9,0.7692,0.6897,0.7273,2a_same_depth,1,probe
0.4,18,5,24,11,0.7826,0.6207,0.6923,2a_same_depth,1,probe
0.45,18,5,24,11,0.7826,0.6207,0.6923,2a_same_depth,1,probe
0.5,17,3,26,12,0.85,0.5862,0.6939,2a_same_depth,1,probe
0.55,15,3,26,14,0.8333,0.5172,0.6383,2a_same_depth,1,probe
0.6,14,3,26,15,0.8235,0.4828,0.6087,2a_same_depth,1,probe
0.65,12,3,26,17,0.8,0.4138,0.5455,2a_same_depth,1,probe
0.7,8,3,26,21,0.7273,0.2759,0.4,2a_same_depth,1,probe
0.35,0,0,29,29,0.0,0.0,0.0,2a_same_depth,1,llm
0.4,1,0,29,28,1.0,0.0345,0.0667,2a_same_depth,1,llm
0.45,3,2,27,26,0.6,0.1034,0.1765,2a_same_depth,1,llm
0.5,5,2,27,24,0.7143,0.1724,0.2778,2a_same_depth,1,llm
0.55,6,7,22,23,0.4615,0.2069,0.2857,2a_same_depth,1,llm
0.6,8,9,20,21,0.4706,0.2759,0.3478,2a_same_depth,1,llm
0.65,12,9,20,17,0.5714,0.4138,0.48,2a_same_depth,1,llm
0.7,16,11,18,13,0.5926,0.5517,0.5714,2a_same_depth,1,llm
0.35,44,12,46,14,0.7857,0.7586,0.7719,2a_same_depth,2,probe
0.4,42,11,47,16,0.7925,0.7241,0.7568,2a_same_depth,2,probe
0.45,40,10,48,18,0.8,0.6897,0.7407,2a_same_depth,2,probe
0.5,38,8,50,20,0.8261,0.6552,0.7308,2a_same_depth,2,probe
0.55,33,7,51,25,0.825,0.569,0.6735,2a_same_depth,2,probe
0.6,31,7,51,27,0.8158,0.5345,0.6458,2a_same_depth,2,probe
0.65,29,6,52,29,0.8286,0.5,0.6237,2a_same_depth,2,probe
0.7,25,6,52,33,0.8065,0.431,0.5618,2a_same_depth,2,probe
0.35,1,0,58,57,1.0,0.0172,0.0339,2a_same_depth,2,llm
0.4,3,0,58,55,1.0,0.0517,0.0984,2a_same_depth,2,llm
0.45,9,3,55,49,0.75,0.1552,0.2571,2a_same_depth,2,llm
0.5,12,3,55,46,0.8,0.2069,0.3288,2a_same_depth,2,llm
