mode,param,system,f1,precision,recall,tp,fp,fn,prr_mean,gedr_mean,tca_mean,n_plans,pos_rate
M1,0.2,probe,0.8607,0.8407,0.8817,7066.0,1339.0,948.0,0.0135,-3.5718,0.8119,817,50.0
M1,0.2,llm,0.6576,0.4973,0.9703,7776.0,7861.0,238.0,0.0,-7.7638,0.337,817,50.0
M1,0.4,probe,0.8536,0.8327,0.8756,10563.0,2122.0,1501.0,0.0024,-2.911,0.7414,817,50.0
M1,0.4,llm,0.6584,0.4976,0.9726,11733.0,11845.0,331.0,0.0,-6.5611,0.2947,817,50.0
M1,0.6,probe,0.8483,0.8274,0.8702,13027.0,2717.0,1943.0,0.0024,-2.1392,0.7049,817,50.0
M1,0.6,llm,0.6586,0.4979,0.9727,14561.0,14686.0,409.0,0.0,-5.1127,0.2922,817,50.0
M2a,1.0,probe,0.4501,0.3327,0.6952,568.0,1139.0,249.0,0.2546,-0.6989,0.8621,817,11.7
M2a,1.0,llm,0.2342,0.1526,0.5031,411.0,2282.0,406.0,0.0294,-2.2901,0.7767,817,11.7
M2a,2.0,probe,0.5113,0.3999,0.7087,759.0,1139.0,312.0,0.2375,-0.4486,0.8607,817,14.8
M2a,2.0,llm,0.2818,0.1942,0.5135,550.0,2282.0,521.0,0.0269,-1.7411,0.7725,817,14.8
M2a,3.0,probe,0.5313,0.4259,0.7059,845.0,1139.0,352.0,0.2313,-0.4168,0.8585,817,16.3
M2a,3.0,llm,0.3079,0.2172,0.5288,633.0,2282.0,564.0,0.0269,-1.6353,0.7713,817,16.3
M2b,1.0,probe,0.3526,0.2643,0.5296,134.0,373.0,119.0,0.1146,-0.9447,0.8575,253,11.6
M2b,1.0,llm,0.2195,0.1436,0.4664,118.0,704.0,135.0,0.0158,-2.3162,0.7883,253,11.6
M2b,2.0,probe,0.4704,0.4013,0.5682,250.0,373.0,190.0,0.0909,-0.3715,0.8445,253,18.6
M2b,2.0,llm,0.3102,0.2298,0.4773,210.0,704.0,230.0,0.004,-1.2391,0.7697,253,18.6
M2b,3.0,probe,0.5004,0.4399,0.5802,293.0,373.0,212.0,0.0751,-0.2925,0.8424,253,20.8
M2b,3.0,llm,0.3255,0.2503,0.4653,235.0,704.0,270.0,0.004,-1.0968,0.7672,253,20.8
combined,40pct+2spur,probe,,,,,,,0.0,-1.5636,0.69,817,
combined,40pct+2spur,llm,,,,,,,0.0,-3.5067,0.3472,817,
