threshold,tp_name,set,tp,fp,tn,fn,precision,recall,f1,fpr
0.35,tp1_ordering,tp1_ordering_balanced,7,5,6,4,0.5833,0.6364,0.6087,0.4545
0.4,tp1_ordering,tp1_ordering_balanced,7,5,6,4,0.5833,0.6364,0.6087,0.4545
0.45,tp1_ordering,tp1_ordering_balanced,7,5,6,4,0.5833,0.6364,0.6087,0.4545
0.5,tp1_ordering,tp1_ordering_balanced,7,5,6,4,0.5833,0.6364,0.6087,0.4545
0.55,tp1_ordering,tp1_ordering_balanced,7,4,7,4,0.6364,0.6364,0.6364,0.3636
0.6,tp1_ordering,tp1_ordering_balanced,7,3,8,4,0.7,0.6364,0.6667,0.2727
0.65,tp1_ordering,tp1_ordering_balanced,6,3,8,5,0.6667,0.5455,0.6,0.2727
0.7,tp1_ordering,tp1_ordering_balanced,6,3,8,5,0.6667,0.5455,0.6,0.2727
0.35,tp4_flexibility,tp4_flexibility_balanced,8,8,3,3,0.5,0.7273,0.5926,0.7273
0.4,tp4_flexibility,tp4_flexibility_balanced,7,6,5,4,0.5385,0.6364,0.5833,0.5455
0.45,tp4_flexibility,tp4_flexibility_balanced,7,4,7,4,0.6364,0.6364,0.6364,0.3636
0.5,tp4_flexibility,tp4_flexibility_balanced,7,3,8,4,0.7,0.6364,0.6667,0.2727
0.55,tp4_flexibility,tp4_flexibility_balanced,6,3,8,5,0.6667,0.5455,0.6,0.2727
0.6,tp4_flexibility,tp4_flexibility_balanced,6,2,9,5,0.75,0.5455,0.6316,0.1818
0.65,tp4_flexibility,tp4_flexibility_balanced,4,2,9,7,0.6667,0.3636,0.4706,0.1818
0.7,tp4_flexibility,tp4_flexibility_balanced,4,2,9,7,0.6667,0.3636,0.4706,0.1818
