system,train_variant,dataset,threshold,macro_f1,enrichable_f1,corpus_f1,corpus_prec,corpus_rec,fp_rate,n_enrichable,n_total_plans,avg_iterations
Probe 2,tp1_ordering,ProScript,0.35,0.2024,0.4723,0.3506,0.25,0.587,0.2027,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.4,0.2024,0.4723,0.3649,0.2647,0.587,0.1902,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.45,0.1804,0.421,0.3609,0.2759,0.5217,0.1574,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.5,0.1639,0.3825,0.3607,0.2895,0.4783,0.1377,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.55,0.1641,0.3829,0.3652,0.3043,0.4565,0.1233,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.6,0.1531,0.3573,0.3551,0.3115,0.413,0.1082,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.65,0.1568,0.3658,0.3918,0.3725,0.413,0.0819,39,91,10.0
Probe 2,tp1_ordering,ProScript,0.7,0.1535,0.3581,0.3956,0.4,0.3913,0.0678,39,91,10.0
Probe 2,tp1_ordering,CaptainCook,0.35,0.3835,0.5752,0.4654,0.3333,0.7708,0.2536,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.4,0.4194,0.6291,0.5103,0.3814,0.7708,0.1919,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.45,0.4369,0.6553,0.5263,0.4118,0.7292,0.1602,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.5,0.4178,0.6267,0.5378,0.4507,0.6667,0.1265,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.55,0.4167,0.625,0.5405,0.4762,0.625,0.1062,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.6,0.4108,0.6162,0.549,0.5185,0.5833,0.085,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.65,0.3656,0.5485,0.5217,0.5455,0.5,0.067,14,21,10.0
Probe 2,tp1_ordering,CaptainCook,0.7,0.263,0.3946,0.4615,0.6,0.375,0.0397,14,21,10.0
Probe 2,tp2_parallel,ProScript,0.35,0.1984,0.4629,0.3294,0.2258,0.6087,0.2435,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.4,0.1976,0.4612,0.3484,0.2477,0.587,0.2077,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.45,0.1812,0.4227,0.3521,0.2604,0.5435,0.1806,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.5,0.1526,0.356,0.3231,0.25,0.4565,0.1614,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.55,0.1599,0.3731,0.35,0.2838,0.4565,0.1351,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.6,0.1636,0.3817,0.3784,0.3231,0.4565,0.1127,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.65,0.1617,0.3774,0.3846,0.3448,0.4348,0.095,39,91,10.0
Probe 2,tp2_parallel,ProScript,0.7,0.1434,0.3347,0.383,0.375,0.3913,0.075,39,91,10.0
Probe 2,tp2_parallel,CaptainCook,0.35,0.331,0.4965,0.4444,0.3768,0.5417,0.1504,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.4,0.3298,0.4947,0.4486,0.4068,0.5,0.1207,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.45,0.2637,0.3956,0.3871,0.4,0.375,0.0895,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.5,0.2382,0.3574,0.3571,0.4167,0.3125,0.0688,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.55,0.228,0.3421,0.3562,0.52,0.2708,0.0413,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.6,0.1132,0.1697,0.1846,0.3529,0.125,0.0365,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.65,0.1211,0.1816,0.1967,0.4615,0.125,0.0241,14,21,10.0
Probe 2,tp2_parallel,CaptainCook,0.7,0.1052,0.1578,0.1754,0.5556,0.1042,0.0115,14,21,10.0
Probe 2,tp3_dependency,ProScript,0.35,0.2131,0.4972,0.3774,0.2655,0.6522,0.2088,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.4,0.19,0.4432,0.3586,0.2626,0.5652,0.181,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.45,0.187,0.4364,0.3759,0.2874,0.5435,0.152,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.5,0.1735,0.4048,0.3697,0.3014,0.4783,0.1245,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.55,0.1515,0.3535,0.367,0.3175,0.4348,0.1094,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.6,0.148,0.3453,0.3725,0.3393,0.413,0.0935,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.65,0.1443,0.3368,0.3736,0.3778,0.3696,0.0713,39,91,10.0
Probe 2,tp3_dependency,ProScript,0.7,0.137,0.3197,0.3765,0.4103,0.3478,0.0576,39,91,10.0
Probe 2,tp3_dependency,CaptainCook,0.35,0.2855,0.4282,0.3537,0.2626,0.5417,0.224,14,21,10.0
