layer,probe_auc,macro_auc,llm_auc,margin
0,0.5,0.5,0.3815,0.1185
1,0.6646,0.6601,0.3815,0.2831
2,0.6939,0.686,0.3815,0.3124
3,0.7088,0.7273,0.3815,0.3273
4,0.7322,0.7667,0.3815,0.3507
5,0.743,0.7514,0.3815,0.3615
6,0.7572,0.7552,0.3815,0.3757
7,0.7566,0.7699,0.3815,0.3751
8,0.7701,0.7999,0.3815,0.3886
9,0.7906,0.8142,0.3815,0.4091
10,0.8046,0.8288,0.3815,0.4231
11,0.8317,0.839,0.3815,0.4502
12,0.8388,0.8481,0.3815,0.4573
13,0.8465,0.8571,0.3815,0.465
14,0.8409,0.8524,0.3815,0.4594
15,0.8466,0.8552,0.3815,0.4651
16,0.8563,0.8464,0.3815,0.4748
17,0.8506,0.8467,0.3815,0.4691
18,0.8466,0.8477,0.3815,0.4651
19,0.8474,0.8547,0.3815,0.4659
20,0.8504,0.861,0.3815,0.4689
21,0.8505,0.8502,0.3815,0.469
22,0.8348,0.8524,0.3815,0.4533
23,0.8228,0.8448,0.3815,0.4413
24,0.8204,0.839,0.3815,0.4389
25,0.8216,0.8418,0.3815,0.4401
26,0.8123,0.8414,0.3815,0.4308
27,0.7933,0.8365,0.3815,0.4118
