layer,probe_auc,macro_auc,llm_auc,margin
0,0.5,0.5,0.5533,-0.0533
1,0.6404,0.6476,0.5533,0.0871
2,0.6619,0.66,0.5533,0.1085
3,0.6755,0.6729,0.5533,0.1222
4,0.6906,0.6858,0.5533,0.1373
5,0.7166,0.7294,0.5533,0.1633
6,0.743,0.7456,0.5533,0.1897
7,0.7314,0.7453,0.5533,0.1781
8,0.7324,0.7626,0.5533,0.179
9,0.7467,0.7775,0.5533,0.1934
10,0.7805,0.7939,0.5533,0.2271
11,0.7762,0.7954,0.5533,0.2229
12,0.7686,0.7891,0.5533,0.2153
13,0.7759,0.7842,0.5533,0.2226
14,0.779,0.783,0.5533,0.2257
15,0.7866,0.8026,0.5533,0.2333
16,0.7879,0.8136,0.5533,0.2346
17,0.7927,0.8152,0.5533,0.2393
18,0.8022,0.8159,0.5533,0.2489
19,0.8274,0.8392,0.5533,0.2741
20,0.8429,0.8525,0.5533,0.2896
21,0.8517,0.8586,0.5533,0.2984
22,0.8464,0.8575,0.5533,0.2931
23,0.8575,0.8658,0.5533,0.3042
24,0.8584,0.8702,0.5533,0.3051
25,0.857,0.8707,0.5533,0.3036
26,0.8563,0.8666,0.5533,0.3029
27,0.8595,0.872,0.5533,0.3062
28,0.855,0.8703,0.5533,0.3017
29,0.8496,0.8617,0.5533,0.2963
30,0.8493,0.8542,0.5533,0.296
31,0.8391,0.8488,0.5533,0.2858
32,0.8456,0.8518,0.5533,0.2923
33,0.8446,0.856,0.5533,0.2913
34,0.8438,0.8537,0.5533,0.2904
35,0.8395,0.846,0.5533,0.2862
